Syringe,H2O_mL,air_mL,eq_temp,ResetTime
NI70,70,70,22.7,2023-08-04 21:32:20
NI135,70,70,22.7,2023-08-04 21:34:20
NI51,70,70,22.7,2023-08-04 21:36:21
NI132,70,70,22.7,2023-08-04 21:38:28
NI36,70,70,22.7,2023-08-04 21:40:25
NI77,70,70,22.7,2023-08-04 21:42:23
NI20,70,70,22.7,2023-08-04 21:44:24
NI6,70,70,22.7,2023-08-04 21:46:26
NI83,70,70,22.7,2023-08-04 21:48:21
NI146,70,70,22.7,2023-08-04 21:50:21
NI120,70,70,22.7,2023-08-04 21:52:07
NI25,70,70,22.7,2023-08-04 21:54:25
NI15,70,70,22.7,2023-08-04 21:56:33
NI23,70,70,22.7,2023-08-04 21:58:26
NI7,70,70,22.7,2023-08-04 22:00:22
NI24,70,70,22.7,2023-08-04 22:02:28
NI13,70,70,22.7,2023-08-04 22:04:17
NI108,70,70,22.7,2023-08-04 22:06:10
NI127,70,70,22.7,2023-08-04 22:08:09
NI102,70,70,22.7,2023-08-04 22:10:10
NI12,70,70,22.7,2023-08-04 22:12:01
NI1,70,70,22.7,2023-08-04 22:13:56
NI91,70,70,22.7,2023-08-04 22:15:52
NI17,70,70,22.7,2023-08-04 22:17:54
NI110,70,70,22.7,2023-08-04 22:19:54
NI8,70,70,22.7,2023-08-04 22:21:49
NI66,70,70,22.7,2023-08-04 22:23:49
NI9,70,70,22.7,2023-08-04 22:25:40
NI18,70,70,22.7,2023-08-04 22:27:35
NI88,70,70,22.7,2023-08-04 22:29:33
NI117,70,70,22.7,2023-08-04 22:31:24
NI21,70,70,22.7,2023-08-04 22:33:25
U033,70,70,22.7,2023-08-04 22:36:57
28,70,70,22.7,2023-08-04 22:38:19
92,70,70,22.7,2023-08-04 22:40:08
86,70,70,22.7,2023-08-04 22:41:59
U028,70,70,22.7,2023-08-04 22:43:55
83,70,70,22.7,2023-08-04 22:45:53
33,70,70,22.7,2023-08-04 22:47:51
81,70,70,22.7,2023-08-04 22:49:47
8G,70,70,22.7,2023-08-04 22:51:39
U013,70,70,22.7,2023-08-04 22:53:30
2,70,70,22.7,2023-08-04 22:55:25
144,70,70,22.7,2023-08-04 22:57:19
014,70,70,22.7,2023-08-04 22:59:08
73,70,70,22.7,2023-08-04 23:00:58
029,70,70,22.7,2023-08-04 23:02:59
U025,70,70,22.7,2023-08-04 23:05:01
BH12,70,70,22.7,2023-08-04 23:06:56
79,70,70,22.7,2023-08-04 23:08:36
55,70,70,22.7,2023-08-04 23:13:08
74,70,70,22.7,2023-08-04 23:15:16
95,70,70,22.7,2023-08-04 23:17:13
BH05,70,70,22.7,2023-08-04 23:19:02
37,70,70,22.7,2023-08-04 23:20:56
U030,70,70,22.7,2023-08-04 23:22:48
BH20,70,70,22.7,2023-08-04 23:24:45
70,70,70,22.7,2023-08-04 23:26:25
34,70,70,22.7,2023-08-04 23:28:18
126,70,70,22.7,2023-08-04 23:30:15
98,70,70,22.7,2023-08-04 23:32:06
32,70,70,22.7,2023-08-04 23:34:06
J01,70,70,22.7,2023-08-04 23:35:58
BH21,70,70,22.7,2023-08-04 23:38:09
