sample_datetime,time_interval,rundate,treatment,syringe_number,bottle,SampleID,raw_CO2,delCO2,CO2_conc_umolL,AF,CO2_13C_umolL,DIC_molL,DIC_mgL,DIC_13C_umolL
2022-07-12T16:30:00Z,T0,2022-07-13,LW,33,A,2,469.74774008029,17.275475896913,32.42636714743082,0.01130212962713399,0.3664870048373021,0.0016126584373969534,19.369640491574806,18.226474703751713
2022-07-12T16:30:00Z,T0,2022-07-13,LW,70,A,3,467.698142391667,14.8369598501667,32.284884812370606,0.011275342712603218,0.3640231406963973,0.0016124835760371599,19.367540231782325,18.18130493826297
2022-07-12T16:30:00Z,T0,2022-07-13,LW,72,A,4,473.8441007214,16.27398308748,32.70913613764291,0.011291128479935205,0.36932305859781767,0.0016130070695339665,19.37382791217247,18.212670061151794
2022-07-12T16:30:00Z,T0,2022-07-13,LW,32,A,5,468.8601203552,17.31395687574,32.36509536124159,0.011302552326146006,0.3658081838611385,0.0016125827452820771,19.368731353583026,18.226300858790854
2022-07-12T16:30:00Z,T0,2022-07-13,LW,37,A,6,445.892787932292,17.0552732849583,30.77967601805323,0.011299710777695463,0.3478014368351707,0.0016106046400107554,19.34497233116918,18.199366609335854
2022-07-12T16:30:00Z,T0,2022-07-13,LW,71,A,7,472.1059065944,15.12753015594,32.58914977873893,0.011278534681631478,0.36755785602438984,0.00161285927261909,19.37205272342789,18.190689242825325
2022-07-12T16:30:00Z,T0,2022-07-13,LW,BH21,A,8,431.012251184203,17.3645357839855,29.752482682621977,0.011303107915791625,0.3362955225243977,0.001609301152681733,19.329316144860293,18.190104597769484
2022-07-12T16:30:00Z,T0,2022-07-13,LW,74,A,9,442.1885990672,17.33556110118,30.523978378928103,0.011302789640240682,0.3450061066002792,0.0016102818677595566,19.341095513660033,18.200677212780132
2022-07-13T14:45:00Z,T1,2022-07-13,LW,BH12,A,2,417.850193213403,20.7977862853472,28.843914768907307,0.011340819378286954,0.3271136275568813,0.001608132151684113,19.31527527387788,18.237536268665483
2022-07-13T14:45:00Z,T1,2022-07-13,LW,73,A,3,423.6767228448,20.67382760728,29.246116148291858,0.011339457843155522,0.33163510113958544,0.0016086515941516706,19.321514297355716,18.241236936207795
2022-07-13T14:45:00Z,T1,2022-07-13,LW,110n,A,4,456.8304916332,18.65077359358,31.534698268708105,0.01131723652829065,0.3568856391552473,0.0016115514974869027,19.356345036315187,18.238309474580273
2022-07-13T14:45:00Z,T1,2022-07-13,LW,8G,A,5,450.8604230902,20.15783469278,31.122588495838187,0.011333790249030404,0.35273689001871666,0.0016110358098584238,19.350151112209527,18.259141952612204
2022-07-15T18:00:00Z,T2,2022-07-16,LW,73,A,2,481.820413797,22.85919004406,33.2597356066857,0.01136346083865148,0.3779457030704752,0.0016136827628382203,19.38194366444986,18.33702088151904
