Syringe,H2O_mL,air_mL,eq_temp,ResetTime
Std_2,0,70,22.5,2023-07-13 21:16:37
71,70,70,22.5,2023-07-13 21:19:01
33,70,70,22.5,2023-07-13 21:21:27
55,70,70,22.5,2023-07-13 21:23:41
BH13,70,70,22.5,2023-07-13 21:26:02
32,70,70,22.5,2023-07-13 21:28:35
30,70,70,22.5,2023-07-13 21:30:55
U018,70,70,22.5,2023-07-13 21:33:28
5,70,70,22.5,2023-07-13 21:36:12
95,70,70,22.5,2023-07-13 21:38:48
8G,70,70,22.5,2023-07-13 21:41:18
70,70,70,22.5,2023-07-13 21:43:49
82,70,70,22.5,2023-07-13 21:46:20
92,70,70,22.5,2023-07-13 21:48:43
U005,70,70,22.5,2023-07-13 21:54:21
029,70,70,22.5,2023-07-13 21:56:49
