site,trt,excess_13C_DIC,excess_13C_sd,excess_DIC,excess_DIC_sd,carbon,nuts
nyack_sc,C,0.969266451755061,0.1756731716217041,37.13187724169828,11.447192769937892,Glucose,No Nutrients
nyack_sc,CNP,1.0530699286717078,0.4721379783866655,42.147627209479154,40.543978387050174,Glucose,Nutrients
nyack_sc,NP,0.41916025741046353,0.29804282506315904,-0.4680838083338479,25.7863774206971,No Glucose,No Nutrients
nyack_sc,W,0.7294783390708273,0.3599247327209505,20.757792853856753,19.815447997115484,No Glucose,Nutrients
