trt,leachate,rep,DIC_ugLd,DIC_13C_ugLd,site
C,0,A,4.123679840942339,0.2392076337606326,fl
C,0,B,13.405467774349576,0.2506552884897111,fl
C,0,C,12.430024992968855,0.3164642508581781,fl
C,0,D,7.004534164250771,0.23270389499936453,fl
C,1,A,113.60676353991012,2.4552467765551396,fl
C,1,B,100.64690211416678,2.3412390545914743,fl
C,1,C,97.25184373365785,2.2724024860074747,fl
C,1,D,90.96754015347945,2.3156593927633247,fl
CNP,0,A,80.68294599151406,0.9999629579768304,fl
CNP,0,B,82.63013852921384,1.0006160721624442,fl
CNP,0,C,74.14176688338402,0.9597312210813487,fl
CNP,0,D,66.43153362921096,0.8360041889045859,fl
CNP,1,A,77.83197748643214,1.909373007835215,fl
CNP,1,B,72.91872282252977,1.9910251698645187,fl
CNP,1,C,72.75464004216344,1.8956198169415288,fl
CNP,1,D,65.14520514392842,1.872144880897153,fl
NP,0,A,-21.88283713184597,-0.04114256113509531,fl
NP,0,B,-17.50615665413177,-0.076822717624385,fl
NP,0,C,-11.695757486833546,0.024356803581232496,fl
NP,0,D,-16.565677748447698,-0.046336709688812455,fl
NP,1,A,19.669957576140472,1.2999029131305841,fl
NP,1,B,4.912670068291155,1.1764155671584418,fl
NP,1,C,-0.01581966613095166,1.1222910251461893,fl
NP,1,D,-8.64275039121856,0.9825324625206242,fl
W,0,A,-2.6912448264420368,0.05674892087115127,fl
W,0,B,-1.8178685665607788,0.44368696352795456,fl
W,0,C,-3.491524005904595,0.2153710509085747,fl
W,0,D,2.0769171835714526,0.40834480370491577,fl
W,1,A,8.751364948260646,1.957675585874189,fl
W,1,B,9.387559839613704,2.1588080771888185,fl
W,1,C,6.5210821322737935,1.9742380089223937,fl
W,1,D,10.64722162443029,1.8034647920930973,fl
