batch,trt,leachate,sample_datetime,delCO2_mean,delCO2_sd,DIC_mgL_mean,DIC_mgL_sd,DIC_13C_ugL_mean,DIC_13C_ugL_sd,site
1,C,0,2023-07-21T12:32:00Z,-15.261802282425212,2.8941910142365175,21.912780974155204,0.006656604153410948,259.57410910785455,0.8334030306814386,nmc
1,C,1,2023-07-21T13:31:00Z,-11.254570459571154,1.997966238592288,21.96082018807047,0.04954392158788677,261.19062885697645,1.11123768172248,nmc
1,CNP,0,2023-07-21T12:42:00Z,-15.330584193410257,0.08677794134442415,22.41317802945671,0.011201037571615231,265.48326460250286,0.15581659924182883,nmc
1,CNP,1,2023-07-21T13:22:00Z,-12.69243182866453,0.01566028015479386,22.494640084281116,0.018054207831281605,267.154213922955,0.21022709199302667,nmc
1,NP,0,2023-07-21T12:25:00Z,-15.563060982307693,1.1786007604497508,22.39149177477942,0.010017963794692358,265.1645203034318,0.43262497094722546,nmc
1,NP,1,2023-07-21T13:01:00Z,-13.309508164384615,0.9829430876640505,22.541924331250044,0.020237777565249988,267.5504068192512,0.5038136707552271,nmc
1,W,0,2023-07-21T12:11:00Z,-12.585231835403846,1.7328763254717732,22.006637724005003,0.0354793999973844,261.3862251485965,0.03227873845993893,nmc
1,W,1,2023-07-21T12:53:00Z,-6.635911431064957,0.6744405641448478,21.95220249382606,0.019830162269069095,262.2937673619956,0.4130560185125473,nmc
2,C,0,2023-07-27T16:27:20Z,-15.791917327747862,0.5399226201087803,22.066242922507755,0.08200335608326385,261.25280521162017,1.0124584780115098,nmc
2,C,1,2023-07-27T17:08:00Z,8.223869659474145,1.8387168498983637,22.620143836461306,0.09286236198463645,274.2719333824849,1.1372000061336132,nmc
2,CNP,0,2023-07-27T16:38:40Z,-15.7900952029302,0.21807509587337348,22.927860913953822,0.08506018237608566,271.45416868365254,0.9626264698731564,nmc
2,CNP,1,2023-07-27T17:16:00Z,7.205947577888034,1.7971639804356265,23.387371594038704,0.34471961066030804,283.2929253484724,4.284488107406201,nmc
2,NP,0,2023-07-27T16:15:20Z,-15.615407466479345,0.3265476947968038,22.444701935046915,0.03823617188570439,265.7805295848018,0.410771550742764,nmc
2,NP,1,2023-07-27T16:59:00Z,3.696037917410684,1.1917559893546712,22.85719821932015,0.7097655129255656,275.9154398130993,8.55868199515777,nmc
2,W,0,2023-07-27T16:06:00Z,-15.42139005159188,0.6285498174730838,22.00919680077788,0.05583126886204013,260.6743074098646,0.6678603444650768,nmc
2,W,1,2023-07-27T16:49:00Z,9.176780706351067,2.0099803750162812,22.124378337784144,0.13927879968104018,268.5113532467391,1.696460638212329,nmc
