Sample_ID,Collection_date,site,trt,leachate,DOC_mgL,Delta_13C,DOC_12_mgL,AF,DOC_13_mgL,date
Flathead Lake NP,7/18/2023,flathead,NP,0,1.51,31.589,1.8980796139844731,0.011459333348639408,0.022002865185692912,2023-07-18
Flathead Lake NP,7/18/2023,flathead,NP,0,1.6,30.169,1.861322370091505,0.01144373989240809,0.021547068102051613,2023-07-18
Flathead Lake W (REP),NA,flathead,W,0,1.54,26.945,1.7765478271639292,0.011408334331492704,0.020501337682700092,NA
Nyack MC W,7/27/2023,nyack_mc,W,0,0.62,49.767,0.8507731754747897,0.011658908102307724,0.010036096191977279,2023-07-27
Nyack SC W,7/27/2023,nyack_sc,W,0,0.7,33.235,1.19888631424435,0.011477407964696082,0.013919871374453935,2023-07-27
Nyack MC C,7/27/2023,nyack_mc,C,0,1.38,22.401,1.6639423005417342,0.011358428390784254,0.019116907491900093,2023-07-27
Nyack SC C,7/27/2023,nyack_sc,C,0,0.7,36.792,1.039205072749591,0.011516464886729905,0.012107403214420616,2023-07-27
Nyack MC NP,7/27/2023,nyack_mc,NP,0,0.72,36.807,1.0015746273105073,0.01151662958467356,0.011669153300268548,2023-07-27
Nyack SC NP,7/27/2023,nyack_sc,NP,0,0.68,36.19,0.9930669195322511,0.01150985496395677,0.011563146350743602,2023-07-27
Nyack MC CNP,7/27/2023,nyack_mc,CNP,0,0.8,32.54,1.1152303457788668,0.01146977629673991,0.0129398598835955,2023-07-27
Nyack SC CNP,7/27/2023,nyack_sc,CNP,0,0.69,42.164,0.991014488355426,0.011575445200695533,0.011605775926299992,2023-07-27
Nyack MC WL,7/21/2023,nyack_mc,W,1,0.8,5371.017,1.0427780115041103,0.06680935097276568,0.07465497241092438,2023-07-21
Nyack SC WL,7/21/2023,nyack_sc,W,1,0.7,6248.154,1.0027417894207593,0.07531465601516514,0.08167227201504582,2023-07-21
Nyack MC W (REP),NA,nyack_mc,W,0,0.62,202.545,0.7642475718155086,0.013333065773940599,0.010327459843967922,NA
Nyack MC CL,7/21/2023,nyack_mc,C,1,1.31,4620.599,1.4960771630676721,0.05940762185977983,0.09449192704741093,2023-07-21
Nyack SC CL,7/21/2023,nyack_sc,C,1,1.48,3626.949,1.9749309828879014,0.04942419225738908,0.10268446535066446,2023-07-21
Nyack MC NPL,7/21/2023,nyack_mc,NP,1,0.82,5241.845,1.104985232621002,0.06554357768606778,0.07750461520389777,2023-07-21
Nyack SC NPL,7/21/2023,nyack_sc,NP,1,0.7,6653.088,1.0017553225510478,0.0791890768436753,0.08615023694998919,2023-07-21
Nyack MC CNPL,7/21/2023,nyack_mc,CNP,1,1.34,4068.19,1.7374718198005215,0.05388347853712136,0.09895295493447089,2023-07-21
Nyack SC CNPL,7/21/2023,nyack_sc,CNP,1,1.53,3878.052,1.8179487376134484,0.05196703911785646,0.09965203432790823,2023-07-21
Nyack MC WL,7/27/2023,nyack_mc,W,1,0.77,5839.41,1.0940037890043204,0.07137057418794455,0.08408055615591464,2023-07-27
Nyack SC WL,7/27/2023,nyack_sc,W,1,0.79,5999.817,1.1129556181725544,0.07292238924369102,0.08754324541730872,2023-07-27
Nyack MC CL,7/27/2023,nyack_mc,C,1,0.69,5976.1,1.0918722838118633,0.07269327221546383,0.08559386745881384,2023-07-27
Nyack SC CL,7/27/2023,nyack_sc,C,1,0.7,6463.399,0.9970595751167316,0.07737817695126936,0.08362110054952059,2023-07-27
Nyack MC CL (REP),NA,nyack_mc,C,1,1.31,4515.556,1.5582588730228941,0.058362154237496286,0.09657995916218375,NA
Nyack MC NPL,7/27/2023,nyack_mc,NP,1,0.81,6705.826,0.9523286641534899,0.07969128731354543,0.08246395600281237,2023-07-27
Nyack SC NPL,7/27/2023,nyack_sc,NP,1,0.74,6033.554,1.172025072259509,0.07324810903311195,0.09263387657384635,2023-07-27
Nyack MC CNPL,7/27/2023,nyack_mc,CNP,1,0.97,5272.644,1.3353984457371697,0.06584569276369688,0.09412817036113633,2023-07-27
Nyack SC CNPL,7/27/2023,nyack_sc,CNP,1,1.17,4910.711,1.4414832770943988,0.06228301373920693,0.09574309100457987,2023-07-27
Flathead Lake NP,7/18/2023,flathead,NP,0,1.67,154.449,1.7828923789723872,0.012806636695372969,0.02312906043859094,2023-07-18
Flathead Lake CNP,7/18/2023,flathead,CNP,0,1.72,75.586,1.8609182140116083,0.011942234288810274,0.022492127561028613,2023-07-18
Flathead Lake CNP,7/18/2023,flathead,CNP,0,1.57,62.658,1.79545943126397,0.011800388492854414,0.021440120564063872,2023-07-18
Flathead Lake CNP,7/18/2023,flathead,CNP,0,1.51,55.051,1.7255895463672026,0.011716905584214577,0.020458277497748964,2023-07-18
Flathead Lake CNP,7/18/2023,flathead,CNP,0,1.49,52.306,1.6855514188858844,0.011686777159033745,0.019931599990120008,2023-07-18
Nyack MC C,7/21/2023,nyack_mc,C,0,1.48,54.587,1.6786919862045564,0.011711812966671783,0.01989351570628003,2023-07-21
Nyack SC C,7/21/2023,nyack_sc,C,0,1.76,41.331,1.9808081829172228,0.011566299980185577,0.023178713601496623,2023-07-21
Nyack MC NP,7/21/2023,nyack_mc,NP,0,0.7,75.784,0.8934833060385473,0.011944406424831933,0.010801140958588178,2023-07-21
Nyack SC NP,7/21/2023,nyack_sc,NP,0,0.71,73.86,0.9005035331372045,0.011923299001618357,0.010866537857597171,2023-07-21
Nyack MC CNP,7/21/2023,nyack_mc,CNP,0,1.78,34.032,1.937711679987927,0.011486159530962008,0.022515481898350675,2023-07-21
Nyack SC CNP,7/21/2023,nyack_sc,CNP,0,1.59,37.137,1.7874257441577353,0.011520252925548641,0.020831581748920917,2023-07-21
Nyack MC NPL (REP),NA,nyack_mc,NP,1,0.81,7226.266,0.7698033947210564,0.08461808400010642,0.07116077691672576,NA
