trt,leachate,rep,DIC_ugLd,DIC_13C_ugLd,site
C,0,A,108.60026530292158,1.2716924078824643,ybc
C,0,B,82.37609658513821,0.991327916851065,ybc
C,0,C,93.28079152822632,1.0980084340301026,ybc
C,0,D,103.22573589185714,1.2365621411272694,ybc
C,1,A,140.6196874089995,2.2881724221534276,ybc
C,1,B,120.64595245853205,2.1929896020116644,ybc
C,1,C,113.26579324101957,2.081662980469582,ybc
C,1,D,139.3082558126177,2.3654657054085506,ybc
CNP,0,A,99.64412815884951,1.1310536761368124,ybc
CNP,0,B,98.17436733044747,1.1444214347511499,ybc
CNP,0,C,100.06522713876134,1.1588236316015148,ybc
CNP,0,D,105.24669016933139,1.211050132546287,ybc
CNP,1,A,140.1795012062453,2.443091704311759,ybc
CNP,1,B,131.78449398859365,2.463953478822153,ybc
CNP,1,C,148.97010995414598,2.5581455525178667,ybc
CNP,1,D,157.7579219354356,2.569202724756092,ybc
NP,0,A,-7.710232256368776,-0.1270482891250497,ybc
NP,0,B,-2.3170693992227633,-0.057407252211928626,ybc
NP,0,C,-2.230309591413948,-0.044478072945708436,ybc
NP,0,D,-23.233948104552006,-0.24258213790766373,ybc
NP,1,A,16.766009155285506,0.9216194841567676,ybc
NP,1,B,-1.133591172740872,0.7842799916175768,ybc
NP,1,C,58.84092740965348,1.4954134461101676,ybc
NP,1,D,7.041783211649333,0.7413690054063672,ybc
W,0,A,8.267520602280463,0.11165974377369609,ybc
W,0,B,-2.0013782284124817,0.015529643466061626,ybc
W,0,C,3.215920188393208,0.07949481164925902,ybc
W,0,D,3.9349767895939847,0.06675999166228079,ybc
W,1,A,43.949400755093414,1.388644690834301,ybc
W,1,B,31.871646324914646,1.2898072132537814,ybc
W,1,C,39.69541235568407,1.1846254453003169,ybc
W,1,D,32.45187390363946,1.101616064793287,ybc
