trt,leachate,rep,DIC_ugLd,DIC_13C_ugLd,site
C,0,A,18.1344619855487,0.1745749346844911,nyack_mc
C,0,B,34.37105929275909,0.3818597131435057,nyack_mc
C,0,C,22.189373472366903,0.26063568995217834,nyack_mc
C,1,A,103.49290240008324,2.050471163152514,nyack_mc
C,1,B,102.44063252810557,2.1665058672512303,nyack_mc
C,1,C,115.65007169697884,2.1634139154520056,nyack_mc
CNP,0,A,95.68735678668438,1.1084625744155019,nyack_mc
CNP,0,B,85.16744460431137,0.9901864953854835,nyack_mc
CNP,0,C,69.62979993165467,0.8072555488952597,nyack_mc
CNP,1,A,134.9064876614585,2.557033371463186,nyack_mc
CNP,1,B,174.79509358437696,2.9632613173678113,nyack_mc
CNP,1,C,124.89500807491892,2.336303698357226,nyack_mc
NP,0,A,10.021455166827684,0.11064121452888129,nyack_mc
NP,0,B,7.086964417487182,0.09782201450832148,nyack_mc
NP,0,C,8.805932382536723,0.09154665184545173,nyack_mc
NP,1,A,140.13043008870463,2.4148490122224793,nyack_mc
NP,1,B,14.162213271203864,0.8716223344230563,nyack_mc
NP,1,C,-0.8657237139674314,0.7841046026485959,nyack_mc
W,0,A,5.478192842450776,-0.05087453964435008,nyack_mc
W,0,B,-4.082182571905,-0.1464404979297251,nyack_mc
W,0,C,-0.1497184879943702,-0.14920736225683318,nyack_mc
W,1,A,9.056110430685331,0.7334250313288692,nyack_mc
W,1,B,49.89653133625063,1.2770236466949576,nyack_mc
W,1,C,24.844548122792194,1.0156541603000513,nyack_mc
