site,trt,excess_13C_DIC,excess_13C_sd,excess_DIC,excess_DIC_sd,carbon,nuts
ybc,C,1.082689079503626,0.2524493916717981,31.588973847147486,25.18953477875677,Glucose,No Nutrients
ybc,CNP,1.3472805809348076,0.10248302544434143,43.89530162101799,14.463349670592608,Glucose,Nutrients
ybc,NP,1.1035826507104947,0.4393659736104381,29.256381691250986,36.59045674151865,No Glucose,No Nutrients
ybc,W,1.1727332177790513,0.16353746881892367,33.63645264236831,10.024888523909087,No Glucose,Nutrients
