Syringe,Treatment,batch,equilpressure,volwater,volair,equiltemp,run_datetime,samplenum,CO2_ppm,delCO2,CH4,delCH4,rundate,CO2_conc_air,sample_datetime,kH_CO2,CO2_mol_water,CO2_mol_air,CO2_conc_umolL,AF,CO2_13C_umolL
32,1,1,0.035342105,70,70,22.5,2023-07-13T21:28:35Z,6,410.6964118493924,-9.815900035712122,0.7888253228433333,-56.36257618009091,2023-07-13,410.6964118493924,2023-07-13T13:04:00Z,31.042683191275625,13.230055189456573,0.6116969043364213,13.841752093792994,0.011004451373693824,0.15232088784286968
95,1,1,0.035342105,70,70,22.5,2023-07-13T21:38:48Z,10,375.1281131149848,-9.203168365451516,0.7744601133212121,-45.48684764115151,2023-07-13,375.1281131149848,2023-07-13T13:04:00Z,31.042683191275625,12.084268321895978,0.5587209892794162,12.642989311175395,0.011011186010122957,0.1392143070293486
29,2,1,0.035342105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-13T13:25:00Z,NA,NA,NA,NA,NA,NA
U018,2,1,0.035342105,70,70,22.5,2023-07-13T21:33:28Z,8,1035.9018989758126,-13.411337835984376,0.786299471148125,-44.45231981709375,2023-07-13,1035.9018989758126,2023-07-13T13:25:00Z,31.042683191275625,33.37024356409201,1.5428865860948775,34.91313015018689,0.010964931466302749,0.3828200793709074
U005,3,1,0.035342105,70,70,22.5,2023-07-13T21:54:21Z,16,376.7384819590651,-8.749798392032291,0.8102330229275,-46.52141919559375,2023-07-13,376.7384819590651,2023-07-13T13:40:00Z,31.042683191275625,12.136144277146293,0.5611194948624769,12.69726377200877,0.011016169016407276,0.13987520375835358
71,3,1,0.035342105,70,70,22.5,2023-07-13T21:19:01Z,2,369.8042443472313,-10.772191714004688,0.7956626421990625,-51.02148047909375,2023-07-13,369.8042443472313,2023-07-13T13:40:00Z,31.042683191275625,11.912766756295175,0.5507915456554422,12.463558301950618,0.010993940428382839,0.13702361749732148
30,4,1,0.035342105,70,70,22.5,2023-07-13T21:30:55Z,7,1013.3872969485312,-13.181753587203126,0.7928169819528125,-47.07073929171875,2023-07-13,1013.3872969485312,2023-07-13T13:50:00Z,31.042683191275625,32.644964699228645,1.5093530270836413,34.15431772631228,0.010967455077657527,0.3745859453713721
55,4,1,0.035342105,70,70,22.5,2023-07-13T21:23:41Z,4,1029.9404600080156,-13.733312098015626,0.773920426668125,-45.40792268962499,2023-07-13,1029.9404600080156,2023-07-13T13:50:00Z,31.042683191275625,33.178203496838016,1.5340075366150656,34.71221103345309,0.010961392273658626,0.3804941618237004
BH13,5,1,0.035342105,70,70,22.5,2023-07-13T21:26:02Z,5,419.61635637746406,-9.860032367939064,0.754362689248125,-44.76226732240625,2023-07-13,419.61635637746406,2023-07-13T14:03:00Z,31.042683191275625,13.51739969743965,0.624982392831692,14.142382090271342,0.011003966304296495,0.15562229598383207
92,5,1,0.035342105,70,70,22.5,2023-07-13T21:48:43Z,14,388.3558115147242,-9.02678823004697,0.7740550043181819,-43.983818002,2023-07-13,388.3558115147242,2023-07-13T14:03:00Z,31.042683191275625,12.510381564692496,0.5784225058477753,13.088804070540272,0.011013124616736135,0.1441486303129032
