Syringe,H2O_mL,air_mL,eq_temp,ResetTime,DATETIME,samplenum,ENDTIME,CO2_ppm,delCO2,CH4,delCH4,batch
NI108,70,70,21.1,2023-07-28 15:44:45,2023-07-28T15:44:45Z,1,2023-07-28T15:45:25Z,1177.0921293596923,-15.895865685179487,-0.0010970670746,-152.32598676,2
029,70,70,21.1,2023-07-28 15:46:59,2023-07-28T15:46:59Z,2,2023-07-28T15:47:39Z,1487.8860478015,-7.974483097092308,-0.0010970670746,-152.32598676,2
NI77,70,70,21.1,2023-07-28 15:49:20,2023-07-28T15:49:20Z,3,2023-07-28T15:50:00Z,2054.550900767231,-17.341678421641024,-0.0010970670746,-152.32598676,2
114,70,70,21.1,2023-07-28 15:51:31,2023-07-28T15:51:31Z,4,2023-07-28T15:52:11Z,1569.4180904036666,-4.526773287335898,-0.0010970670746,-152.32598676,2
NI6,70,70,21.1,2023-07-28 15:53:48,2023-07-28T15:53:48Z,5,2023-07-28T15:54:28Z,827.9499833076372,-15.120136324589744,-0.0010970670746,-152.32598676,2
NI127,70,70,21.1,2023-07-28 15:56:07,2023-07-28T15:56:07Z,6,2023-07-28T15:56:47Z,1083.0161623809402,-15.424279046,-0.0010970670746,-152.32598676,2
8G,70,70,21.1,2023-07-28 15:58:24,2023-07-28T15:58:24Z,7,2023-07-28T15:59:04Z,1988.9219619546923,-5.924748886451282,-0.0010970670746,-152.32598676,2
NI83,70,70,21.1,2023-07-28 16:00:48,2023-07-28T16:00:48Z,8,2023-07-28T16:01:28Z,1351.6342429624488,-15.648026146576923,-0.0010970670746,-152.32598676,2
28,70,70,21.1,2023-07-28 16:03:00,2023-07-28T16:03:00Z,9,2023-07-28T16:03:40Z,1642.6837978607307,-5.478813639137179,-0.0010970670746,-152.32598676,2
J01,70,70,21.1,2023-07-28 16:05:28,2023-07-28T16:05:28Z,10,2023-07-28T16:06:08Z,2225.489292867628,-5.888197816161538,-0.0010970670746,-152.32598676,2
NI146,70,70,21.1,2023-07-28 16:07:49,2023-07-28T16:07:49Z,11,2023-07-28T16:08:29Z,839.3782192555551,-14.548764753217949,-0.0010970670746,-152.32598676,2
U002,70,70,21.1,2023-07-28 16:10:15,2023-07-28T16:10:15Z,12,2023-07-28T16:10:55Z,958.0487247297308,-2.9874571459628205,-0.0010970670746,-152.32598676,2
NI36,70,70,21.1,2023-07-28 16:12:59,2023-07-28T16:12:59Z,13,2023-07-28T16:13:39Z,1276.7206133776326,-15.7850287151453,-0.0010970670746,-152.32598676,2
74,70,70,21.1,2023-07-28 16:15:19,2023-07-28T16:15:19Z,14,2023-07-28T16:15:59Z,1427.2338802177394,-3.3925370782581195,-0.0010970670746,-152.32598676,2
NI88,70,70,21.1,2023-07-28 16:17:35,2023-07-28T16:17:35Z,15,2023-07-28T16:18:15Z,1379.4837391358717,-16.611040989051283,-0.0010970670746,-152.32598676,2
