Syringe,H2O_mL,air_mL,eq_temp,ResetTime
NI19,70,70,21.1,2023-07-28 19:54:13
NI119,70,70,21.1,2023-07-28 19:56:27
NI123,70,70,21.1,2023-07-28 19:58:46
NI3,70,70,21.1,2023-07-28 20:01:00
NI114,70,70,21.1,2023-07-28 20:03:16
NI138,70,70,21.1,2023-07-28 20:05:42
NI2,70,70,21.1,2023-07-28 20:07:49
NI89,70,70,21.1,2023-07-28 20:10:05
NI22,70,70,21.1,2023-07-28 20:12:31
NI69,70,70,21.1,2023-07-28 20:15:03
NI1,70,70,21.1,2023-07-28 20:17:19
NI10,70,70,21.1,2023-07-28 20:19:28
NI14,70,70,21.1,2023-07-28 20:21:40
NI105,70,70,21.1,2023-07-28 20:23:49
NI118,70,70,21.1,2023-07-28 20:26:00
NI103,70,70,21.1,2023-07-28 20:28:04
NI11,70,70,21.1,2023-07-28 20:30:14
NI16,70,70,21.1,2023-07-28 20:32:36
NI139,70,70,21.1,2023-07-28 20:34:58
NI4,70,70,21.1,2023-07-28 20:37:12
NI110,70,70,21.1,2023-07-28 20:39:25
NI84,70,70,21.1,2023-07-28 20:41:34
NI98,70,70,21.1,2023-07-28 20:43:49
NI5,70,70,21.1,2023-07-28 20:46:10
134,70,70,21.1,2023-07-28 20:48:17
30,70,70,21.1,2023-07-28 20:50:23
70,70,70,21.1,2023-07-28 20:52:36
92,70,70,21.1,2023-07-28 20:54:43
13,70,70,21.1,2023-07-28 20:56:56
U048,70,70,21.1,2023-07-28 20:59:14
71,70,70,21.1,2023-07-28 21:02:13
BH20,70,70,21.1,2023-07-28 21:04:28
73,70,70,21.1,2023-07-28 21:06:40
U005,70,70,21.1,2023-07-28 21:09:12
U018,70,70,21.1,2023-07-28 21:11:21
82,70,70,21.1,2023-07-28 21:13:37
2,70,70,21.1,2023-07-28 21:15:50
53,70,70,21.1,2023-07-28 21:17:57
BH13,70,70,21.1,2023-07-28 21:20:08
014,70,70,21.1,2023-07-28 21:22:21
BH16,70,70,21.1,2023-07-28 21:24:51
4,70,70,21.1,2023-07-28 21:26:52
U030,70,70,21.1,2023-07-28 21:29:25
55,70,70,21.1,2023-07-28 21:31:40
126,70,70,21.1,2023-07-28 21:33:46
31,70,70,21.1,2023-07-28 21:35:41
U033,70,70,21.1,2023-07-28 21:37:47
BH05,70,70,21.1,2023-07-28 21:39:58
